target_income,target_marital_status,target_workclass
<=50K,Married-spouse-absent,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Local-gov
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
>50K,Never-married,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Local-gov
<=50K,Divorced,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Divorced,Private
<=50K,Divorced,Self-emp-not-inc
>50K,Married-civ-spouse,State-gov
>50K,Married-civ-spouse,Private
<=50K,Widowed,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Divorced,Local-gov
>50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Widowed,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,State-gov
<=50K,Widowed,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Self-emp-not-inc
>50K,Widowed,Local-gov
<=50K,Divorced,Private
<=50K,Never-married,Private
<=50K,Divorced,Private
<=50K,Divorced,Private
<=50K,Widowed,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Divorced,Private
>50K,Divorced,Federal-gov
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,State-gov
<=50K,Never-married,Local-gov
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Separated,Private
>50K,Married-civ-spouse,Self-emp-inc
>50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Widowed,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Local-gov
<=50K,Separated,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-spouse-absent,Self-emp-inc
<=50K,Never-married,Private
<=50K,Never-married,State-gov
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Divorced,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Divorced,Private
>50K,Married-civ-spouse,Local-gov
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Separated,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Never-married,Local-gov
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,State-gov
<=50K,Never-married,Private
<=50K,Never-married,Self-emp-not-inc
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,State-gov
<=50K,Separated,Private
<=50K,Divorced,Local-gov
<=50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Local-gov
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Divorced,Private
>50K,Married-civ-spouse,Federal-gov
>50K,Never-married,Self-emp-not-inc
<=50K,Married-spouse-absent,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
<=50K,Never-married,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Divorced,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Married-civ-spouse,Self-emp-inc
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Divorced,Local-gov
<=50K,Never-married,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-inc
>50K,Married-civ-spouse,Private
<=50K,Never-married,State-gov
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Local-gov
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Federal-gov
<=50K,Married-civ-spouse,State-gov
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Widowed,Federal-gov
<=50K,Divorced,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Federal-gov
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Widowed,Federal-gov
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Private
<=50K,Never-married,Self-emp-inc
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-inc
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Never-married,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,State-gov
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,State-gov
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Widowed,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Divorced,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Divorced,Private
<=50K,Divorced,Private
<=50K,Divorced,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,State-gov
<=50K,Never-married,Private
<=50K,Never-married,Local-gov
>50K,Divorced,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Federal-gov
<=50K,Married-civ-spouse,Private
<=50K,Never-married,State-gov
<=50K,Never-married,Local-gov
<=50K,Divorced,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Divorced,Local-gov
<=50K,Married-civ-spouse,Local-gov
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Federal-gov
>50K,Married-civ-spouse,Local-gov
<=50K,Divorced,Private
>50K,Never-married,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Married-civ-spouse,Local-gov
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Separated,Private
<=50K,Divorced,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Divorced,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Widowed,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Private
<=50K,Divorced,Federal-gov
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Separated,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Never-married,Private
<=50K,Never-married,Private
>50K,Never-married,Private
<=50K,Separated,Private
<=50K,Widowed,State-gov
>50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Never-married,Local-gov
<=50K,Widowed,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Divorced,Federal-gov
<=50K,Never-married,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Federal-gov
<=50K,Separated,State-gov
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Widowed,Private
<=50K,Never-married,Self-emp-inc
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Local-gov
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Local-gov
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Divorced,Federal-gov
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Widowed,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Local-gov
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Federal-gov
<=50K,Never-married,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Federal-gov
<=50K,Never-married,Private
<=50K,Divorced,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,State-gov
>50K,Married-civ-spouse,Private
<=50K,Widowed,Local-gov
<=50K,Never-married,Private
>50K,Never-married,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
>50K,Widowed,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,State-gov
<=50K,Never-married,State-gov
<=50K,Married-spouse-absent,Private
<=50K,Divorced,Private
<=50K,Never-married,State-gov
<=50K,Never-married,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Self-emp-inc
>50K,Never-married,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Separated,Private
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
>50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Divorced,Private
<=50K,Never-married,Federal-gov
<=50K,Divorced,Self-emp-inc
<=50K,Married-civ-spouse,Private
<=50K,Widowed,Federal-gov
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Self-emp-inc
<=50K,Never-married,Local-gov
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Separated,Private
<=50K,Never-married,Private
<=50K,Never-married,Local-gov
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Never-married,Private
<=50K,Never-married,Private
>50K,Divorced,Self-emp-not-inc
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Divorced,Private
<=50K,Never-married,Federal-gov
<=50K,Never-married,Private
>50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Divorced,Private
>50K,Married-civ-spouse,Local-gov
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
<=50K,Widowed,Private
<=50K,Married-civ-spouse,Self-emp-inc
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Married-civ-spouse,State-gov
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Federal-gov
<=50K,Divorced,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
>50K,Divorced,Private
<=50K,Never-married,State-gov
<=50K,Married-civ-spouse,Self-emp-inc
<=50K,Never-married,Private
>50K,Married-civ-spouse,Federal-gov
<=50K,Divorced,Self-emp-not-inc
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Self-emp-inc
>50K,Married-civ-spouse,Private
<=50K,Divorced,Private
>50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Divorced,Private
<=50K,Widowed,Private
>50K,Married-civ-spouse,Self-emp-inc
>50K,Married-civ-spouse,Private
<=50K,Widowed,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Self-emp-inc
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Never-married,Private
>50K,Never-married,Private
>50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Federal-gov
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Local-gov
<=50K,Married-civ-spouse,State-gov
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Self-emp-not-inc
<=50K,Married-spouse-absent,Self-emp-not-inc
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Never-married,Private
>50K,Married-civ-spouse,Local-gov
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Divorced,Federal-gov
>50K,Divorced,Private
<=50K,Married-civ-spouse,Private
<=50K,Divorced,Private
>50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,State-gov
<=50K,Never-married,Private
>50K,Married-civ-spouse,Self-emp-inc
>50K,Divorced,Private
<=50K,Divorced,Private
>50K,Married-civ-spouse,Self-emp-not-inc
<=50K,Never-married,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Divorced,Private
<=50K,Never-married,Private
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,State-gov
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,State-gov
<=50K,Married-spouse-absent,Private
>50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Self-emp-inc
<=50K,Divorced,Private
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Local-gov
<=50K,Married-civ-spouse,Local-gov
<=50K,Divorced,State-gov
<=50K,Divorced,Private
<=50K,Never-married,Private
<=50K,Never-married,Local-gov
<=50K,Never-married,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
>50K,Divorced,Private
>50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Separated,Private
<=50K,Divorced,State-gov
<=50K,Married-civ-spouse,Private
<=50K,Separated,Local-gov
<=50K,Married-civ-spouse,Local-gov
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
<=50K,Divorced,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
<=50K,Separated,Federal-gov
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Local-gov
>50K,Married-civ-spouse,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Never-married,Self-emp-not-inc
<=50K,Never-married,State-gov
<=50K,Never-married,Local-gov
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Private
>50K,Divorced,Private
<=50K,Married-civ-spouse,Self-emp-not-inc
>50K,Married-civ-spouse,Private
<=50K,Divorced,Private
<=50K,Divorced,Self-emp-not-inc
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,Local-gov
<=50K,Married-civ-spouse,Self-emp-not-inc
>50K,Never-married,Private
<=50K,Married-civ-spouse,Local-gov
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Never-married,Private
<=50K,Married-civ-spouse,Private
<=50K,Divorced,State-gov
<=50K,Never-married,State-gov
>50K,Married-civ-spouse,Private
<=50K,Married-civ-spouse,State-gov
<=50K,Married-civ-spouse,Private
